trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,scenario,averageSize
2,22,20,34677,5225.231964000004,5.657325325325325,4.0416776776776775,short,requestsfourserv,27.0
2,23,20,32912,5225.231964000004,5.539809809809809,3.8503063063063063,short,requestsfourserv,27.0
2,24,20,32082,5225.231964000004,5.170276276276276,3.4351371371371373,short,requestsfourserv,28.0
2,25,20,34514,5225.231964000004,5.315803803803804,3.5695775775775775,short,requestsfourserv,28.0
2,26,20,35663,5225.231964000004,5.535643643643644,3.8475095095095093,short,requestsfourserv,27.0
2,27,20,38635,5225.231964000004,5.7092272272272275,3.9712532532532534,short,requestsfourserv,27.0
2,28,20,31600,5225.231964000004,5.406146146146146,3.7194914914914916,short,requestsfourserv,27.0
2,29,20,35308,5225.231964000004,5.7205025025025025,4.046066066066066,short,requestsfourserv,27.0
2,30,20,30741,5225.231964000004,5.329421421421421,3.623293293293293,short,requestsfourserv,27.0
2,31,20,35454,5225.231964000004,5.569059059059059,4.037513513513513,short,requestsfourserv,27.0
2,32,20,37143,5225.231964000004,5.263401401401401,3.646712712712713,short,requestsfourserv,27.0
2,33,20,35163,5225.231964000004,5.424702702702703,3.90605005005005,short,requestsfourserv,27.0
2,34,20,34343,5225.231964000004,4.925471471471472,3.411817817817818,short,requestsfourserv,27.0
2,35,20,31951,5225.231964000004,5.593917917917918,4.1837737737737735,short,requestsfourserv,27.0
2,36,20,34364,5225.231964000004,5.657231231231231,4.2416676676676675,short,requestsfourserv,26.0
2,37,20,36947,5225.231964000004,5.183655655655656,3.767821821821822,short,requestsfourserv,27.0
2,38,20,34361,5225.231964000004,5.001907907907908,3.650132132132132,short,requestsfourserv,27.0
2,39,20,32313,5225.231964000004,5.39622022022022,4.068450450450451,short,requestsfourserv,27.0
2,40,20,33254,5225.231964000004,5.268618618618619,3.936996996996997,short,requestsfourserv,27.0
2,41,20,31383,5225.231964000004,5.037425425425425,3.6669729729729728,short,requestsfourserv,27.0
2,42,20,34124,5225.231964000004,4.945079079079079,3.6115795795795798,short,requestsfourserv,27.0
2,43,20,33500,5225.231964000004,5.318232232232233,3.9615775775775774,short,requestsfourserv,27.0
2,44,20,34984,5225.231964000004,5.404076076076076,4.066598598598598,short,requestsfourserv,27.0
2,45,20,45464,5225.231964000004,5.035489489489489,3.645009009009009,short,requestsfourserv,28.0
2,46,20,31289,5225.231964000004,5.086436436436436,3.784940940940941,short,requestsfourserv,27.0
2,47,20,33744,5225.231964000004,5.2332992992993,3.8794434434434435,short,requestsfourserv,27.0
2,48,20,33737,5225.231964000004,5.080920920920921,3.809671671671672,short,requestsfourserv,27.0
2,49,20,74921,5225.231964000004,5.080920920920921,3.809671671671672,short,requestsfourserv,27.0
3,0,19,3068,4970.492076900005,7.056286286286286,5.148494494494495,short,requestsfourserv,26.0
3,1,20,3746,4999.033217100003,6.102886886886887,4.2848188188188185,short,requestsfourserv,27.0
3,2,20,6849,4999.033217100003,6.126362362362363,4.455473473473473,short,requestsfourserv,26.0
3,3,17,8360,5006.3513592000045,5.70061061061061,4.15209009009009,short,requestsfourserv,26.0
3,4,19,11443,5058.176468700003,5.446696696696697,3.926722722722723,short,requestsfourserv,26.0
3,5,19,13885,5178.960219000005,5.347019019019019,3.863201201201201,short,requestsfourserv,26.0
3,6,19,15724,5178.960219000005,5.244894894894895,3.757363363363363,short,requestsfourserv,27.0
3,7,20,17077,5225.231964000004,6.25221021021021,4.648750750750751,short,requestsfourserv,27.0
3,8,20,17313,5225.231964000004,6.144350350350351,4.194794794794795,short,requestsfourserv,27.0
3,9,20,22027,5225.231964000004,6.401437437437438,4.323563563563564,short,requestsfourserv,27.0
3,10,20,23706,5225.231964000004,6.663043043043043,4.717007007007007,short,requestsfourserv,27.0
