trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,buildProb,runtimeKill,scenario,averageSize
0,11,20,135033,5.033292960288003E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,36.0
0,12,20,130498,5.033292960288003E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,37.0
0,13,19,155719,5.065935777387339E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,39.0
0,14,19,1123407,5.065935777387339E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,40.0
0,15,19,287888,5.065935777387339E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,42.0
0,16,19,366672,5.123713635045603E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,44.0
0,17,20,400986,5.125185687387338E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,43.0
0,18,20,437369,5.125185687387338E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,43.0
0,19,20,452690,5.1428069943780035E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,42.0
0,20,20,524633,5.1428069943780035E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,40.0
0,21,20,622915,5.1428069943780035E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,40.0
0,22,20,756940,5.1428069943780035E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,40.0
0,23,20,1333363,5.151618843583563E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,41.0
0,24,20,667582,5.151618843583563E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,42.0
0,25,20,1587052,5.151618843583563E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,43.0
0,26,20,618126,5.151618843583563E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,44.0
0,27,20,651628,5.151618843583563E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,46.0
0,28,20,628512,5.155277244729003E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,47.0
0,29,20,626046,5.155277244729003E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,47.0
0,0,15,37573,4.2462023820917785E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,31.0
0,1,17,131395,4.352057624809563E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,35.0
0,2,15,108214,4.582048735480178E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,3,15,106623,4.582048735480178E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,33.0
0,4,17,123298,4.689988779086402E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,5,19,110807,4.727191052050577E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,33.0
